subject,trial,window,label,Fp1-Fp2,Fp1-F3,Fp1-F4,Fp1-C3,Fp1-C4,Fp1-O1,Fp1-O2,Fp2-F3,Fp2-F4,Fp2-C3,Fp2-C4,Fp2-O1,Fp2-O2,F3-F4,F3-C3,F3-C4,F3-O1,F3-O2,F4-C3,F4-C4,F4-O1,F4-O2,C3-C4,C3-O1,C3-O2,C4-O1,C4-O2,O1-O2
1,3,11,aktif,0.7879609,0.655211,0.4974617,0.65742743,0.18995191,0.56210387,0.3443169,0.29122108,0.8677884,0.7933057,0.54754955,0.879105,0.84614694,0.61820894,0.66895646,0.48573893,0.6411527,0.5811324,0.66668683,0.21593317,0.15795244,0.2652143,0.84424937,0.37770075,0.5812181,0.19507842,0.02087968,0.4975604
1,3,12,aktif,0.49160472,0.9635569,0.9500565,0.7891594,0.7594948,0.7486444,0.709602,0.92208445,0.99612707,0.8902187,0.9280041,0.94788045,0.9385051,0.96733695,0.90173334,0.9458125,0.947313,0.94500875,0.5629875,0.06981769,0.64056903,0.9205514,0.8112006,0.6093921,0.6904114,0.33052647,0.51437527,0.52153796
1,3,13,aktif,0.64541036,0.97037613,0.8323614,0.73344845,0.5304744,0.4724391,0.3431648,0.94267756,0.9501523,0.8214503,0.7613826,0.7450127,0.64547783,0.97723085,0.939218,0.93728673,0.9654358,0.9576684,0.52998,0.24883828,0.5146695,0.8197477,0.7957308,0.56407624,0.68791634,0.061159883,0.32710624,0.40786952
1,3,14,aktif,0.5446956,0.7989961,0.81567854,0.52275777,0.6161767,0.48378697,0.13433003,0.7286334,0.94305575,0.6198439,0.7948119,0.71739864,0.42442757,0.85277385,0.5824534,0.76408046,0.6960943,0.5734779,0.3473193,0.29807422,0.5197815,0.7913731,0.49067074,0.23435482,0.37591308,0.11170861,0.43107238,0.794814
1,3,15,aktif,0.3542223,0.93764937,0.8449625,0.52163744,0.39725128,0.46019456,0.4804477,0.92228615,0.9349393,0.68053985,0.6064682,0.61787105,0.6266816,0.92891103,0.7346292,0.80549306,0.9023652,0.8957548,0.2615525,0.3151392,0.63078475,0.8952718,0.7112787,0.27045095,0.43399227,0.026291557,0.20791231,0.30691332
1,4,1,aktif,0.26176557,0.8553683,0.877182,0.74626774,0.7341127,0.722315,0.46775475,0.8370952,0.91834617,0.7954162,0.81310743,0.7726587,0.6195594,0.8943762,0.80393654,0.87235653,0.8481826,0.8072738,0.60115826,0.052082688,0.5187248,0.82358664,0.63200283,0.5925824,0.6978031,0.38642564,0.590853,0.64167374
1,4,2,aktif,0.23875758,0.8110301,0.68492144,0.35332677,0.3097453,0.25259677,0.049890485,0.7253712,0.9193988,0.60725415,0.6239254,0.57554644,0.40313128,0.78363913,0.5024049,0.65082836,0.63687384,0.5605908,0.27404732,0.25549856,0.54876924,0.83826625,0.552325,0.21333997,0.35022992,0.02684502,0.2897057,0.68524975
1,4,3,aktif,0.6307526,0.8194192,0.844962,0.6303065,0.71668947,0.6300907,0.3765466,0.70506614,0.9033312,0.6621127,0.788898,0.7180373,0.5715161,0.8714687,0.68836987,0.8338949,0.8280035,0.77552736,0.4771589,0.07543876,0.5757991,0.7151005,0.50919,0.5236584,0.59138024,0.38028246,0.56582224,0.59611386
1,4,4,aktif,0.3779433,0.8273025,0.89191943,0.63645977,0.5497712,0.75703114,0.51415217,0.8042363,0.94892794,0.67739177,0.68504167,0.86301035,0.70519334,0.87331134,0.7360992,0.71519727,0.8512319,0.7979308,0.34617576,0.13902533,0.45653355,0.716043,0.53920925,0.43896917,0.5583999,0.045832355,0.26680824,0.6804902
1,4,5,aktif,0.9963428,0.9993828,0.9993753,0.9956426,0.9950803,0.9975343,0.997172,0.999351,0.99971086,0.9964842,0.9975952,0.999026,0.9989608,0.99952847,0.99848074,0.99817264,0.99955976,0.99949723,0.95516795,0.60796463,0.98882365,0.99292856,0.96312195,0.9930783,0.99306095,0.9711083,0.97715217,0.18537949
1,4,6,aktif,0.40906143,0.7845933,0.7429902,0.57928276,0.6164332,0.35858947,0.2683652,0.8039199,0.8105788,0.72393215,0.73919725,0.572681,0.5276847,0.8661827,0.8036259,0.8176877,0.77898335,0.78396934,0.21763879,0.14705494,0.7593188,0.88646173,0.5228624,0.4679122,0.5539418,0.41130015,0.5460765,0.30060688
